county_fips,state,mean_risk,max_risk,n_years,risk_rank
27069,MN,0.2773935451600065,0.7997381276664053,9,1537
72139,PR,0.2771902073595713,0.6383432490136292,7,1538
35001,NM,0.27708768152982166,0.5228163779518866,7,1539
28025,MS,0.2770700092306658,0.7355369551607317,8,1540
53055,WA,0.2770119322807698,0.5417619065633494,5,1541
51137,VA,0.27683120453782056,0.4500928867586204,7,1542
51007,VA,0.27653212704585084,0.6468699859853332,7,1543
28065,MS,0.2765083574150649,0.4562398583560397,11,1544
45037,SC,0.27647275979472546,0.5039783792622637,12,1545
20095,KS,0.27643422405951296,0.551273002504232,9,1546
55027,WI,0.2762774907722966,0.5698506801057133,5,1547
39087,OH,0.27622904436125767,0.6294932666048179,7,1548
01007,AL,0.27597694712899223,0.43207782223197655,8,1549
28005,MS,0.27595817377488757,0.49341613993270195,8,1550
23003,ME,0.27591787357275427,0.6768389452959791,7,1551
17101,IL,0.27587455346846834,0.5110803817982937,5,1552
27035,MN,0.2758260793989222,0.4580056628563206,4,1553
19121,IA,0.2756070220352927,0.5757508933451195,6,1554
51191,VA,0.27549996924892917,0.824695906809432,5,1555
21223,KY,0.2753629782996113,0.6116854153421418,10,1556
35006,NM,0.27504334403879566,0.6456569896446528,6,1557
21011,KY,0.2746975002354216,0.696492586268592,11,1558
39015,OH,0.27444517573290633,0.5437537787053061,8,1559
29059,MO,0.2742094106252756,0.6692636819403419,11,1560
49049,UT,0.27407900250702105,0.8792347495988575,6,1561
45021,SC,0.27384438874886247,0.6207760609674925,13,1562
47009,TN,0.27370768167788523,0.48108607390997277,7,1563
45059,SC,0.27367203732522055,0.6083326562662927,12,1564
21169,KY,0.2735148567575223,0.6126285575063649,12,1565
51510,VA,0.27344219411953763,0.6426647052559828,8,1566
47145,TN,0.2733150409601416,0.5616548035595954,8,1567
47105,TN,0.273254227778522,0.47688634796196344,7,1568
13169,GA,0.27319268631452565,0.5101075000104085,7,1569
35035,NM,0.2730881141266821,0.6874526696090385,11,1570
19171,IA,0.27300598471190846,0.6690796780627761,10,1571
28145,MS,0.27281657928404096,0.6170032691279675,7,1572
51127,VA,0.2728066732558256,0.6295314720995081,7,1573
